,date,delta_deaths_per_capita,delta_cases_per_capita,delta_deaths_per_capita.l1,delta_cases_per_capita.l1,log_new_vaccines_per_capita,log_new_people_vaccinated_per_capita,delta_cases_per_capita_United_Kingdom,delta_deaths_per_capita_United Kingdom,delta_cases_per_capita_Germany,delta_deaths_per_capita_Germany,delta_cases_per_capita_France,delta_deaths_per_capita_France,full_lockdown,full_lockdown.l30,full_lockdown.l45,max_tp,min_tp,rain,humidity,day_of_the_week,season,trend
222,2020-10-09,8.027447448315564e-07,0.0001238233768902,2.0068618620790266e-07,0.0001007444654763,0.0,0.0,0.0002033218998241,1.275526772764532e-06,5.382568114546118e-05,1.311077264393439e-07,0.0003069769511435,1.6315149357776508e-06,0,1.0,1.0,-1.2624999999999993,6.8375,1.85,-1.0874999999999986,5,3,223
223,2020-10-10,6.020585586235996e-07,0.0002028937342561,8.027447448315564e-07,0.0001238233768902,0.0,0.0,0.0002223668340519,1.1875594091256174e-06,5.626905241092137e-05,1.7878326332637436e-07,0.000395672035834,5.191183886565031e-07,0,1.0,1.0,0.6124999999999989,7.225,0.7875,1.8749999999999984,6,3,224
224,2020-10-11,4.013723724158053e-07,0.0001633585555732,6.020585586235996e-07,0.0002028937342561,0.0,0.0,0.0001888512685055,9.52979772755034e-07,4.1513473744384834e-05,1.311077264393439e-07,0.000237222271662,6.822698822342953e-07,0,1.0,1.0,1.1500000000000004,7.0125,3.61875,0.5375000000000014,0,3,225
225,2020-10-12,2.0068618620784845e-07,0.000165164731249,4.013723724158053e-07,0.0001633585555732,0.0,0.0,0.0002049932797332,7.330613636578019e-07,2.9403887375077827e-05,7.151330533055244e-08,0.0001292604787754,1.4238675803150062e-06,0,1.0,1.0,-0.5250000000000004,8.137500000000001,2.0562500000000004,-1.6750000000000007,1,3,226
226,2020-10-13,6.020585586236538e-07,0.0001621544384559,2.0068618620784845e-07,0.000165164731249,0.0,0.0,0.0002526862520528,2.09655550006114e-06,4.912964076208811e-05,1.5494549488285236e-07,0.0002021002046809,1.898490107086765e-06,0,1.0,1.0,-0.5,7.725,0.23125,0.0250000000000003,2,3,227
227,2020-10-14,1.003430931039405e-06,0.0002175438258493,6.020585586236538e-07,0.0001621544384559,0.0,0.0,0.0002893979651448,2.008588136422225e-06,6.116771382606422e-05,5.125120215356146e-07,0.0003358399335528,1.5425232120078918e-06,0,1.0,1.0,1.4124999999999996,6.062500000000001,0.2,1.9125,3,3,228
228,2020-10-15,6.020585586236538e-07,0.0002380138168425,1.003430931039405e-06,0.0002175438258493,0.0,0.0,0.0002783140773263,2.023249363695468e-06,7.911755346403249e-05,3.933231793180317e-07,0.0004413544540357,1.2607160867373225e-06,0,1.0,1.0,-0.200000000000001,4.699999999999999,0.29375,-1.6125000000000007,4,3,229
229,2020-10-16,6.020585586236538e-07,0.0002002848138354,6.020585586236538e-07,0.0002380138168425,0.0,0.0,0.000229242949643,1.993926909149091e-06,8.741309688237598e-05,2.860532213221963e-07,0.0003768799501646,2.640087805167368e-06,0,1.0,1.0,-1.4999999999999982,5.262499999999999,0.2312499999999999,-1.2999999999999972,5,3,230
230,2020-10-17,1.6054894896630589e-06,0.000251058418946,6.020585586236538e-07,0.0002002848138354,0.0,0.0,0.0002371160286887,2.199184090973189e-06,9.332486345636856e-05,3.933231793180317e-07,0.0004766841683723,1.0827326391979128e-06,0,1.0,1.0,1.7763568394002505e-15,6.075,0.0875,1.5,6,3,231
231,2020-10-18,6.020585586236538e-07,0.0002576810630909,1.6054894896630589e-06,0.000251058418946,0.0,0.0,0.0002489623003254,9.823022273014112e-07,6.659080614696434e-05,1.1918884221758289e-07,0.0004425410103527,1.2607160867373225e-06,0,1.0,1.0,1.5999999999999996,6.125,1.33125,1.599999999999998,0,3,232
