date,max_tp,min_tp,rain,humidity
2020-05-15,-0.8000000000000025,3.7375000000000003,0.06875,-3.4375000000000036
2020-05-16,0.3625000000000007,6.825,0.4625000000000001,1.1625000000000032
2020-05-17,1.012500000000001,9.912500000000001,1.125,0.6500000000000004
2020-05-18,0.8374999999999968,10.9625,1.1375000000000002,-0.17500000000000426
2020-05-19,2.0250000000000004,11.575,0.08750000000000001,1.1875000000000036
2020-05-20,0.9875000000000043,9.825,0.17500000000000002,-1.037499999999996
2020-05-21,-1.9250000000000043,9.3875,10.125,-2.9125000000000085
2020-05-22,-2.224999999999998,9.3875,2.14375,-0.2999999999999936
2020-05-23,-0.45000000000000107,8.475,1.06875,1.7749999999999968
2020-05-24,2.5124999999999975,8.45,0.00625,2.9624999999999986
2020-05-25,-0.5374999999999979,7.262500000000001,0.19374999999999998,-3.0499999999999954
